n,flops_per_sec
2,4.8e+07
3,1.08434e+08
4,1.92e+08
5,2.4e+08
6,2.88e+08
7,3.36e+08
8,2.85714e+08
9,4.32e+08
10,4.8e+08
11,5.28e+08
12,5.76e+08
13,4.67066e+08
14,5.02994e+08
15,5.42169e+08
16,7.68e+08
17,8.16e+08
18,8.64e+08
19,4.56e+08
20,9.6e+08
21,1.008e+09
22,5.28e+08
23,8.26347e+08
24,1.152e+09
25,7.21154e+08
26,1.248e+09
27,7.78846e+08
28,1.344e+09
29,8.36538e+08
30,1.07784e+09
31,8.89952e+08
32,7.68e+08
33,9.51923e+08
34,9.76077e+08
35,1.25749e+09
36,1.28571e+09
37,1.32934e+09
38,1.37349e+09
39,1.4012e+09
40,7.22892e+08
41,1.18269e+09
42,1.5e+09
43,1.54491e+09
44,1.05179e+09
45,1.29187e+09
46,1.32057e+09
47,1.6988e+09
48,1.37799e+09
49,1.18072e+09
50,1.20482e+09
51,1.46411e+09
52,1.24303e+09
53,1.2619e+09
54,1.29084e+09
55,1.5942e+09
56,1.60766e+09
57,1.37349e+09
58,1.38095e+09
59,2.10714e+09
60,1.73913e+09
61,1.76812e+09
62,1.27835e+09
63,1.80861e+09
64,1.52988e+09
65,1.55378e+09
66,1.584e+09
67,1.61446e+09
68,1.63855e+09
69,1.42268e+09
70,2.02899e+09
71,1.46392e+09
72,1.728e+09
73,1.74502e+09
74,1.78313e+09
75,1.78571e+09
76,2.17143e+09
77,1.85542e+09
78,1.85714e+09
79,1.90361e+09
80,1.92771e+09
81,1.92857e+09
82,1.9759e+09
83,2e+09
84,2.0241e+09
85,1.74061e+09
86,1.7732e+09
87,1.56757e+09
88,1.58084e+09
89,1.83505e+09
90,2.14286e+09
91,2.19277e+09
92,2.19048e+09
93,2.24096e+09
94,2.26506e+09
95,1.52e+09
96,1.72455e+09
97,1.74775e+09
98,1.76048e+09
99,2.04124e+09
100,2.04778e+09
101,2.43373e+09
102,2.42857e+09
103,2.48193e+09
104,2.14433e+09
105,2.5e+09
106,1.90991e+09
107,1.92793e+09
108,1.94595e+09
109,2.23208e+09
110,2.6506e+09
111,2e+09
112,2.30928e+09
113,2.3299e+09
114,2.0479e+09
115,2.07207e+09
116,2.39175e+09
117,2.1018e+09
118,2.41638e+09
119,2.86747e+09
120,2.47423e+09
121,2.49485e+09
122,2.50685e+09
123,2.20958e+09
124,2.5567e+09
125,2.25225e+09
126,2.59794e+09
127,2.60068e+09
128,2.63014e+09
129,2.65068e+09
130,2.34234e+09
131,2.69178e+09
132,2.37838e+09
133,2.73288e+09
134,2.75342e+09
135,2.43243e+09
136,2.176e+09
137,2.46847e+09
138,2.83562e+09
139,2.224e+09
140,2.8866e+09
141,2.54054e+09
142,2.90785e+09
143,2.57658e+09
144,2.58683e+09
145,2.61261e+09
146,2.62275e+09
147,2.64865e+09
148,3.0411e+09
149,2.384e+09
150,2.69461e+09
151,2.72072e+09
152,3.12329e+09
153,2.448e+09
154,2.464e+09
155,2.48e+09
156,2.496e+09
157,2.512e+09
158,2.84685e+09
159,2.544e+09
160,2.87425e+09
161,2.9009e+09
162,2.592e+09
163,2.608e+09
164,2.94611e+09
165,2.64e+09
166,2.656e+09
167,2.672e+09
168,3.02703e+09
169,2.704e+09
170,2.72e+09
171,2.736e+09
172,2.47482e+09
173,2.768e+09
174,3.58763e+09
175,2.8e+09
176,3.16168e+09
177,2.31878e+09
178,2.848e+09
179,2.864e+09
180,2.58993e+09
181,2.896e+09
182,2.912e+09
