n,flops_per_sec
2,8.57143e+08
3,5.80645e+08
4,1.44578e+09
5,8.65385e+08
6,2.016e+09
7,1.60766e+09
8,2.60241e+09
9,2.59615e+09
10,2.26804e+09
11,2.37838e+09
12,2.04367e+09
13,2.912e+09
14,3.36e+09
15,2.88e+09
16,3.27054e+09
17,3.672e+09
18,3.2832e+09
19,3.41317e+09
20,3.35553e+09
21,3.50442e+09
22,3.47368e+09
23,3.312e+09
24,3.2e+09
25,3.3419e+09
26,3.3723e+09
27,3.11111e+09
28,3.07576e+09
29,2.98286e+09
30,3.1121e+09
31,2.976e+09
32,2.86957e+09
33,3.04753e+09
34,3.00758e+09
35,2.97521e+09
36,2.90618e+09
37,2.97671e+09
38,2.84453e+09
39,2.74005e+09
40,2.59494e+09
41,2.66632e+09
42,2.62691e+09
43,2.64492e+09
44,2.43642e+09
45,2.61474e+09
46,2.37669e+09
47,2.59908e+09
48,2.60561e+09
49,2.53842e+09
50,2.55e+09
51,2.58018e+09
52,2.57691e+09
53,2.57567e+09
54,2.5014e+09
55,2.464e+09
56,2.52565e+09
57,2.51886e+09
58,2.52639e+09
59,2.49882e+09
60,2.49773e+09
61,2.39899e+09
62,2.46695e+09
63,2.4192e+09
64,2.40555e+09
65,2.40359e+09
66,1.55312e+09
67,2.21649e+09
68,2.29793e+09
69,2.25087e+09
70,2.19523e+09
71,2.1092e+09
72,2.07939e+09
73,2.13701e+09
74,2.11429e+09
75,2.07248e+09
76,2.0064e+09
77,2.01139e+09
78,1.96325e+09
79,1.99139e+09
80,1.9728e+09
81,1.89771e+09
82,2.05899e+09
83,2.04477e+09
84,2.1287e+09
85,2.05193e+09
86,2.12085e+09
87,2.0531e+09
88,2.04687e+09
89,2.1242e+09
90,2.04401e+09
91,2.1113e+09
92,2.03981e+09
93,2.10161e+09
94,2.10804e+09
95,2.09118e+09
96,2.10179e+09
97,2.03402e+09
98,2.02766e+09
99,2.0965e+09
100,2.07477e+09
101,2.06902e+09
102,2.0306e+09
103,2.0217e+09
104,2.02378e+09
105,2.02615e+09
106,2.02139e+09
107,2.01946e+09
108,2.018e+09
109,2.01705e+09
110,2.01402e+09
111,2.01829e+09
112,2.00937e+09
113,1.96922e+09
114,2.0191e+09
115,2.01364e+09
116,2.01899e+09
117,2.02039e+09
118,2.02e+09
119,2.00623e+09
120,1.96508e+09
121,1.96822e+09
122,1.95722e+09
123,1.984e+09
124,1.9893e+09
125,1.98425e+09
126,1.98302e+09
127,1.98883e+09
128,1.98307e+09
129,1.94439e+09
130,1.92491e+09
131,1.92579e+09
132,1.93575e+09
133,2.07466e+09
134,2.07569e+09
135,2.05903e+09
136,2.05123e+09
137,2.08139e+09
138,2.08466e+09
139,2.08347e+09
140,2.08396e+09
141,2.08317e+09
142,2.06062e+09
143,2.07654e+09
144,1.22523e+09
145,2.08086e+09
146,2.05627e+09
147,2.06927e+09
148,2.07278e+09
149,2.07239e+09
150,2.07348e+09
151,1.85889e+09
152,2.06466e+09
153,2.07011e+09
154,2.05947e+09
155,2.06276e+09
156,2.05766e+09
157,2.06004e+09
158,2.05309e+09
159,2.05692e+09
160,2.05622e+09
161,2.05575e+09
162,2.05204e+09
163,2.05299e+09
164,2.06169e+09
165,2.05749e+09
166,2.06411e+09
167,2.05812e+09
168,2.04215e+09
169,2.06339e+09
170,2.18706e+09
171,2.18317e+09
172,2.17727e+09
173,2.18484e+09
174,2.18913e+09
175,2.18913e+09
176,2.19357e+09
177,2.18435e+09
178,2.18795e+09
179,2.17928e+09
180,2.15802e+09
181,2.1562e+09
182,2.14975e+09
183,2.14736e+09
184,2.13212e+09
185,2.12845e+09
186,2.1268e+09
187,2.07563e+09
188,2.11167e+09
189,2.10462e+09
190,1.98697e+09
191,1.92307e+09
192,1.8769e+09
193,2.11189e+09
194,2.13211e+09
195,2.12909e+09
196,2.123e+09
197,2.12357e+09
198,2.12664e+09
199,2.11873e+09
200,2.09284e+09
201,2.10237e+09
202,2.0917e+09
203,2.0946e+09
204,2.09537e+09
205,2.08473e+09
206,2.07869e+09
207,2.08263e+09
208,2.08666e+09
209,2.11308e+09
210,2.15344e+09
211,2.15216e+09
212,2.1418e+09
213,2.13736e+09
214,2.12354e+09
215,2.09111e+09
216,2.10988e+09
217,2.09345e+09
218,2.10368e+09
219,2.07163e+09
220,2.09369e+09
221,2.09147e+09
222,2.08265e+09
223,2.09039e+09
224,2.08791e+09
225,2.14418e+09
226,2.15567e+09
227,2.16841e+09
228,2.16112e+09
229,2.16268e+09
230,2.17412e+09
231,2.19178e+09
232,2.17737e+09
233,2.17905e+09
234,2.18444e+09
235,2.16078e+09
236,2.16861e+09
237,2.12463e+09
238,2.14537e+09
239,2.18111e+09
240,2.22047e+09
241,2.20662e+09
242,2.21041e+09
243,2.20224e+09
