n,flops_per_sec
2,2.88e+08
3,8.6747e+08
4,9.6e+08
5,1.44231e+09
6,1.90909e+09
7,2.25503e+09
8,2.12808e+09
9,2.16e+09
10,2.26337e+09
11,2.20167e+09
12,2.4072e+09
13,2.31771e+09
14,2.3389e+09
15,2.38885e+09
16,2.44769e+09
17,2.47185e+09
18,2.47627e+09
19,2.45787e+09
20,2.42401e+09
21,2.37193e+09
22,2.3539e+09
23,2.30243e+09
24,2.07982e+09
25,2.20538e+09
26,2.18661e+09
27,2.15491e+09
28,2.11912e+09
29,2.10253e+09
30,1.85569e+09
31,2.01558e+09
32,2.36559e+09
33,2.36759e+09
34,2.32026e+09
35,2.23056e+09
36,2.15985e+09
37,2.14586e+09
38,2.14028e+09
39,2.10297e+09
40,2.10764e+09
41,2.09364e+09
42,2.07262e+09
43,2.05893e+09
44,2.05423e+09
45,2.02531e+09
46,2.02103e+09
47,2.01088e+09
48,2.00357e+09
49,2.005e+09
50,1.99587e+09
51,1.98495e+09
52,1.9807e+09
53,2.27648e+09
54,2.2673e+09
55,2.25679e+09
56,2.24316e+09
57,2.22532e+09
58,2.15215e+09
59,2.17186e+09
60,2.14128e+09
61,2.07866e+09
62,2.06788e+09
63,2.27703e+09
64,2.20603e+09
65,2.19136e+09
66,2.17958e+09
67,2.14358e+09
68,2.12941e+09
69,2.15864e+09
70,2.26113e+09
71,2.22879e+09
72,2.20973e+09
73,2.21621e+09
74,2.34956e+09
75,2.1597e+09
76,2.3432e+09
77,2.40796e+09
78,2.45292e+09
79,2.515e+09
80,2.45219e+09
81,2.33308e+09
82,2.58825e+09
83,2.57874e+09
84,2.20017e+09
85,2.68587e+09
86,2.59711e+09
87,2.6051e+09
88,2.76147e+09
89,2.69001e+09
90,2.71672e+09
91,2.85116e+09
92,2.70318e+09
93,2.83792e+09
94,2.83004e+09
95,2.86564e+09
96,2.93667e+09
97,2.91555e+09
98,2.67945e+09
99,2.96041e+09
100,2.82616e+09
101,2.78245e+09
102,2.72064e+09
103,2.8332e+09
104,2.3129e+09
105,2.70569e+09
106,2.66932e+09
107,2.72272e+09
108,2.68203e+09
109,2.72056e+09
110,2.74308e+09
111,2.72954e+09
112,2.65569e+09
113,2.88839e+09
114,2.85706e+09
115,2.9135e+09
116,2.7746e+09
117,2.94491e+09
118,2.85402e+09
119,2.77519e+09
120,2.93628e+09
121,2.91823e+09
122,2.91041e+09
123,2.88495e+09
124,2.9071e+09
125,2.87531e+09
126,2.93152e+09
127,2.83822e+09
128,2.71408e+09
129,2.89242e+09
130,2.83392e+09
131,2.76597e+09
132,2.78847e+09
133,2.45444e+09
134,2.77953e+09
135,2.79835e+09
136,2.62299e+09
137,2.77016e+09
138,2.77876e+09
139,2.7933e+09
140,2.80414e+09
141,2.76091e+09
142,2.80295e+09
143,2.78476e+09
144,2.7692e+09
145,2.71067e+09
146,2.78095e+09
147,2.7242e+09
148,2.77686e+09
149,2.71257e+09
150,2.80922e+09
151,2.82832e+09
152,2.73452e+09
153,2.77669e+09
154,2.78897e+09
155,2.72714e+09
156,2.78507e+09
157,2.74133e+09
158,2.73324e+09
159,2.70409e+09
160,2.75203e+09
161,2.70549e+09
162,2.71138e+09
163,2.67309e+09
164,2.74355e+09
165,2.7427e+09
166,2.61271e+09
167,2.47225e+09
168,2.63245e+09
169,2.64726e+09
170,2.64022e+09
171,2.63569e+09
172,2.66365e+09
173,2.64385e+09
174,2.6558e+09
175,2.67973e+09
176,2.60118e+09
177,2.62659e+09
178,2.63045e+09
179,2.58785e+09
180,2.46008e+09
181,2.57678e+09
182,2.59229e+09
183,2.59236e+09
184,2.58862e+09
185,2.577e+09
186,2.58159e+09
187,2.57728e+09
188,2.61524e+09
189,2.54998e+09
190,2.53849e+09
191,2.55182e+09
192,2.55689e+09
193,2.41429e+09
194,2.35047e+09
195,2.40511e+09
196,2.37245e+09
197,2.4031e+09
198,2.30801e+09
199,2.33594e+09
200,2.36089e+09
201,2.38672e+09
202,2.3435e+09
203,2.30317e+09
204,2.36671e+09
205,2.34066e+09
206,2.34677e+09
207,2.30367e+09
208,2.3213e+09
209,2.32644e+09
210,2.29299e+09
211,2.30791e+09
212,2.30906e+09
213,2.29569e+09
214,2.30855e+09
215,2.29152e+09
216,2.31202e+09
