n,flops_per_sec
2,3.5982e+07
4,1.88143e+08
6,3.61708e+08
8,8.28256e+08
10,1.06667e+09
12,1.28253e+09
14,1.42127e+09
16,1.56865e+09
18,8.43266e+07
20,1.18215e+08
22,1.56142e+08
24,1.9595e+08
26,2.56013e+08
28,3.07738e+08
30,3.81626e+08
32,5.25513e+08
34,8.75977e+07
36,1.54345e+08
38,1.23424e+08
40,1.57695e+08
42,2.02703e+08
44,2.61752e+08
46,3.07735e+08
48,3.49913e+08
50,4.388e+08
52,5.17205e+08
54,5.92279e+08
56,6.44676e+08
58,8.07059e+08
60,8.98492e+08
62,9.82204e+08
64,1.11646e+09
66,1.83413e+08
68,2.21552e+08
70,2.70824e+08
72,2.88952e+08
74,3.2888e+08
76,3.57216e+08
78,3.84022e+08
80,4.02731e+08
82,4.64025e+08
84,4.97612e+08
86,5.51507e+08
88,5.81816e+08
90,6.2543e+08
92,6.67661e+08
94,7.26816e+08
96,7.65131e+08
98,8.15797e+08
100,8.54726e+08
102,8.91855e+08
104,8.78938e+08
106,9.24478e+08
108,1.05046e+09
110,1.12125e+09
112,1.18157e+09
114,1.2904e+09
116,1.32445e+09
118,1.42011e+09
120,1.46914e+09
122,1.53298e+09
124,1.61071e+09
126,1.69499e+09
128,1.79601e+09
130,2.62652e+08
132,2.75908e+08
134,2.89575e+08
136,2.88451e+08
138,3.15806e+08
140,3.20849e+08
142,3.44414e+08
144,3.5734e+08
146,3.73081e+08
148,3.87207e+08
150,3.93715e+08
152,3.85283e+08
154,4.15561e+08
156,4.56832e+08
158,4.71678e+08
160,4.67495e+08
162,4.71952e+08
164,5.23717e+08
166,5.47636e+08
168,5.41374e+08
170,5.60178e+08
172,6.11443e+08
174,6.24342e+08
176,6.56689e+08
178,6.81757e+08
180,7.03613e+08
182,7.28112e+08
184,7.55712e+08
186,7.81037e+08
188,8.01254e+08
190,8.29027e+08
192,8.53808e+08
194,8.81175e+08
196,9.10002e+08
198,9.36811e+08
200,9.71175e+08
202,9.98208e+08
204,1.02777e+09
206,1.05874e+09
208,1.09122e+09
210,1.12325e+09
212,1.15334e+09
214,1.18233e+09
216,1.21773e+09
218,1.23796e+09
220,1.27434e+09
222,1.31031e+09
224,1.34731e+09
226,1.3879e+09
228,1.41775e+09
230,1.46039e+09
232,1.49724e+09
234,1.53808e+09
236,1.57532e+09
238,1.62354e+09
240,1.66757e+09
242,1.71072e+09
244,1.74837e+09
246,1.79565e+09
248,1.82427e+09
250,1.88017e+09
252,1.89628e+09
254,1.97575e+09
256,2.03871e+09
258,2.92904e+08
260,3.00187e+08
262,3.03026e+08
264,2.90356e+08
266,3.20238e+08
268,3.26454e+08
270,3.2717e+08
272,3.42109e+08
274,3.41697e+08
276,3.5258e+08
278,3.62171e+08
280,3.73503e+08
282,3.81537e+08
284,3.88784e+08
286,3.99484e+08
288,4.01376e+08
290,4.13547e+08
292,4.23091e+08
294,4.30617e+08
296,4.37131e+08
298,4.50714e+08
300,4.59853e+08
302,4.69806e+08
304,4.77741e+08
306,4.81656e+08
308,4.94487e+08
310,5.02649e+08
312,5.09118e+08
314,5.24105e+08
316,5.33839e+08
318,5.44697e+08
320,5.57894e+08
322,5.6469e+08
324,5.67958e+08
326,5.42187e+08
328,5.30091e+08
330,5.94999e+08
332,6.12898e+08
334,6.24765e+08
336,6.38097e+08
338,6.52555e+08
340,6.67466e+08
342,6.79216e+08
344,6.81909e+08
346,6.96046e+08
348,6.59549e+08
350,6.62883e+08
352,7.24375e+08
354,7.39098e+08
356,7.49246e+08
358,7.62647e+08
360,7.60134e+08
362,7.91313e+08
364,8.05166e+08
366,8.15413e+08
368,7.93553e+08
370,8.44617e+08
372,8.51187e+08
374,8.65937e+08
376,8.86489e+08
378,9.00779e+08
380,9.18317e+08
382,9.45431e+08
384,9.59845e+08
386,9.67779e+08
388,9.88733e+08
390,1.00413e+09
392,9.36354e+08
394,1.03552e+09
396,1.04793e+09
398,1.06366e+09
400,1.08194e+09
402,1.08459e+09
404,1.09907e+09
406,1.12584e+09
408,1.13665e+09
410,1.13978e+09
412,1.18188e+09
414,1.20419e+09
416,1.21497e+09
418,1.23295e+09
420,1.238e+09
422,1.24506e+09
424,1.27004e+09
426,1.1773e+09
428,1.31493e+09
430,1.33796e+09
432,1.3705e+09
434,1.39389e+09
436,1.41087e+09
438,1.4289e+09
440,1.45076e+09
442,1.46908e+09
444,1.4906e+09
446,1.51042e+09
448,1.53277e+09
450,1.55171e+09
452,1.57342e+09
454,1.58756e+09
456,1.60721e+09
458,1.63462e+09
460,1.65334e+09
462,1.67114e+09
464,1.68904e+09
466,1.72518e+09
468,1.7468e+09
470,1.76861e+09
472,1.79297e+09
474,1.8149e+09
476,1.82332e+09
478,1.85637e+09
480,1.88447e+09
482,1.90649e+09
484,1.92424e+09
486,1.94256e+09
488,1.96516e+09
490,1.98963e+09
492,2.01858e+09
494,2.04828e+09
496,2.06468e+09
498,2.09036e+09
500,2.11423e+09
502,2.1442e+09
504,2.16732e+09
506,2.16483e+09
508,2.2329e+09
510,2.25069e+09
512,2.29966e+09
