[lzy219@n3434 p4]$ srun -n 4 ./broadcast
size,my_bcast_bw,mpi_bcast_bw
8,0.464782,0.259195
16,37.126,28.7359
32,29.3156,51.6372
64,103.274,21.3858
128,3.97416,17.9252
256,41.108,59.8824
512,89.1349,46.5651
1024,68.0958,138.697
2048,139.699,404.625
4096,213.375,399.208
8192,359.162,12.9102
16384,376.116,54.217
32768,408.31,56.0135
65536,489.651,185.153
131072,506.994,136.978
262144,105.388,4280.97
524288,344.955,4810.14
1048576,323.08,4097.74
2097152,467.176,7493.39
4194304,749.614,10273.6
8388608,1108.99,12525.8
16777216,1441.67,13969
33554432,1709.77,14111.1
67108864,1865.61,14988.9
134217728,1997.32,16548.2
268435456,1841.09,12687.4

[lzy219@n3434 p4]$ srun -n 32 ./broadcast
size,my_bcast_bw,mpi_bcast_bw
8,0.312207,0.0476355
16,2.3439,13.5996
32,0.329959,33.499
64,1.43363,67.6665
128,0.33489,10.7485
256,2.12383,21.495
512,4.04971,23.7942
1024,8.40162,38.3733
2048,20.6542,11.4906
4096,18.069,117.407
8192,31.0132,20.8008
16384,36.4802,448.569
32768,39.0549,715.66
65536,44.7993,699.066
131072,45.088,849.173
262144,121.922,11229.4
524288,274.328,15309.7
1048576,279.579,17056.4
2097152,279.245,12032.2
4194304,269.42,9970.46
8388608,270.081,8378.81
16777216,280.172,3981.47
33554432,241.058,2069.57
67108864,249.636,6650.49
134217728,259.54,6201.54
268435456,266.434,6460.39
