[lzy219@n3453 p1]$ ./q1_blas 
N,Function,GFLOPs,Time(s)
2,daxpy,0.00066346,6.029e-06
2,dgemv,0.00185864,6.45633e-06
2,dgemm,0.00199313,1.20413e-05
4,daxpy,0.15894,5.03333e-08
4,dgemv,0.427046,9.36667e-08
4,dgemm,1.77778,9e-08
8,daxpy,0.317881,5.03333e-08
8,dgemv,1.39355,1.03333e-07
8,dgemm,9.84615,1.17e-07
16,daxpy,0.872727,3.66667e-08
16,dgemv,4.29474,1.26667e-07
16,dgemm,35.2389,2.47e-07
32,daxpy,1.28,5e-08
32,dgemv,11.9322,1.77e-07
32,dgemm,53.5531,1.262e-06
64,daxpy,2.25882,5.66667e-08
64,dgemv,22.8781,3.63667e-07
64,dgemm,54.4551,9.77833e-06
128,daxpy,3.49091,7.33333e-08
128,dgemv,0.00436777,0.00756084
128,dgemm,46.6789,9.05563e-05
256,daxpy,3,1.70667e-07
256,dgemv,23.6733,5.55833e-06
256,dgemm,148.701,0.000226531
512,daxpy,6.26939,1.63333e-07
512,dgemv,24.2608,2.16527e-05
512,dgemm,188.766,0.00142483
1024,daxpy,6.67101,3.07e-07
1024,dgemv,0.637251,0.00329415
1024,dgemm,196.827,0.0109212
2048,daxpy,6.93063,5.91e-07
2048,dgemv,1.38514,0.00605909
2048,dgemm,144.983,0.118554
4096,daxpy,7.39128,1.10833e-06
4096,dgemv,10.2751,0.00326641
4096,dgemm,138.781,0.990574
