[lzy219@n3433 p2]$ g++ -std=c++17 q2_zgesv.cpp -I/gscratch/amath/roche-libs/include -L/gscratch/amath/roche-libs/lib -lopenblas -o q2_zgesv
[lzy219@n3433 p2]$ ./q2_zgesv 
N,Residual,NormalizedError,Time(s)
16,4.98228e-16,0.362231,0.130454
32,7.93347e-16,0.376051,0.0317356
64,1.82246e-15,0.658828,0.0218372
128,2.94719e-15,0.627657,0.000437687
256,4.73308e-15,0.64737,0.0012567
512,7.98731e-15,0.837603,0.00380427
1024,1.53611e-14,0.432081,0.0154301
2048,2.65907e-14,0.768613,0.0909142
4096,5.23041e-14,1.48831,0.637505
8192,1.03084e-13,1.63889,4.74225
