[lzy219@g3026 p3]$ ./q3_blas_compare
N,OpenBLAS_GFLOPS,CUBLAS_GFLOPS,CPU_Time,CUDA_Time
2,0.16,0.00205667,1.5e-07,1.16693e-05
4,1.37143,0.0195313,1.16667e-07,8.192e-06
8,9.79037,0.140625,1.17667e-07,8.192e-06
16,34.1333,1.0625,2.55e-07,8.192e-06
32,72.3597,1.15895,9.34e-07,5.83147e-05
64,35.7713,5.18219,1.48857e-05,0.000102752
128,111.077,38.057,3.80553e-05,0.000111072
256,176.595,308.159,0.00019075,0.000109312
512,232.931,351.159,0.00115468,0.00076592
1024,300.404,364.85,0.00715564,0.00589169
2048,307.851,395.377,0.055833,0.0434731
4096,320.956,546.183,0.428322,0.251697
8192,277.617,544.793,3.96102,2.01847
16384,324.736,532.673,27.0886,16.5141
