[lzy219@g3026 p4]$ ./q4_copy_bw 
Size(B)	    H2D(ms)	    H2D(MB/s)	D2H(ms)	    D2H(MB/s)
8	        0.011472	0.665045	0.0100736	0.757365
16	        0.0085856	1.77725	    0.0095008	1.60605
32	        0.0084992	3.59064	    0.00944	    3.23279
64	        0.008528	7.15703	    0.0094752	6.44157
128	        0.0086304	14.1442	    0.0093952	12.9928
256	        0.0085504	28.5531	    0.0093216	26.1908
512	        0.008432	57.9081	    0.0093952	51.9714
1024	    0.0086048	113.49	    0.0098848	98.7944
2048	    0.0089568	218.061	    0.0097376	200.576
4096	    0.0098368	397.106	    0.0102464	381.231
8192	    0.0112576	693.976	    0.0117888	662.705
16384	    0.0143456	1089.18	    0.0144	    1085.07
32768	    0.0203008	1539.35	    0.0194848	1603.81
65536	    0.0322016	1940.9	    0.0298528	2093.61
131072	    0.04472	    2795.17	    0.0514528	2429.41
262144	    0.0767296	3258.2	    0.0925344	2701.7
524288	    0.144589	3458.08	    0.173523	2881.46
1048576	    0.277206	3607.42	    0.335014	2984.95
2097152	    0.455539	4390.4	    0.582256	3434.92
4194304	    0.81328	    4918.35	    1.12602	    3552.35
8388608	    1.57851	    5068.07	    2.14034	    3737.73
16777216	3.18827	    5018.39	    4.17982	    3827.92
33554432	6.27485	    5099.73	    8.28335	    3863.17
67108864	12.508	    5116.72	    16.4793	    3883.66
134217728	24.8973	    5141.12	    32.9542	    3884.18
268435456	49.4356	    5178.45	    65.601	    3902.38
